level_0,Symbols,Close,High,Low,Open,Volume
10/05/2021,CMG,1391.84,1410,1390.32,1405,235710
10/05/2021,WEN,22.73,23.1,22.72,22.85,7328169
10/05/2021,DPZ,431.07,435.5,428.34,432.58,596658
11/05/2021,PBPB,7.41,7.74,7.02,7.18,276425
11/05/2021,SBUX,113.55,113.69,112.17,113.32,7775369
11/05/2021,CMG,1393.25,1401,1360.0101,1374.51,353350
11/05/2021,WEN,22.8,22.935,22.18,22.615,5246708
11/05/2021,DPZ,422.34,430.01,419.49,428.62,730639
12/05/2021,PBPB,6.87,7.42,6.62,7.29,229527
12/05/2021,SBUX,109.79,112.39,109.56,111.87,7965263
12/05/2021,CMG,1342.02,1384.96,1338.01,1380.3,286172
12/05/2021,WEN,22.48,24.18,22.14,24.07,8557215
12/05/2021,DPZ,425.44,447.5,419.24,420,1772169
13/05/2021,PBPB,7.11,7.48,6.91,6.97,143226
13/05/2021,SBUX,110.49,111.18,109.155,110.16,7999752
13/05/2021,CMG,1322.7,1357.95,1320,1350.33,249182
13/05/2021,WEN,22.51,23,22.415,22.92,4248609
13/05/2021,DPZ,422.4,431.66,422.29,425.28,594941
14/05/2021,PBPB,6.9,7.39,6.89,7.23,115289
14/05/2021,SBUX,111.2,111.59,110.25,111.01,6836260
14/05/2021,CMG,1356.21,1364.01,1330.18,1333.88,211550
14/05/2021,WEN,23.4,23.505,22.56,22.65,3357647
14/05/2021,DPZ,427.29,430.08,423.51,424.31,636238
17/05/2021,PBPB,6.84,7.05,6.59,6.93,99568
17/05/2021,SBUX,110.98,111.27,109.83,111.22,4521204
17/05/2021,CMG,1331.58,1354,1321.55,1348,228216
17/05/2021,WEN,23.24,23.5,23.005,23.3,4042647
17/05/2021,DPZ,432.86,435.08,428.2,428.2,713795
18/05/2021,PBPB,6.89,7.14,6.85,6.87,91858
18/05/2021,SBUX,111.07,112.21,111.01,111.37,5177382
18/05/2021,CMG,1324.51,1347.4,1314,1340,247349
18/05/2021,WEN,23.4,23.66,23.14,23.14,2074996
18/05/2021,DPZ,432.86,441.79,432.68,433.78,695499
19/05/2021,PBPB,6.74,6.86,6.53,6.73,51277
19/05/2021,SBUX,109.67,109.94,108.88,109.6,5997454
19/05/2021,CMG,1307.19,1316.93,1295.1,1309,275232
19/05/2021,WEN,23.57,23.615,23.19,23.24,2976123
19/05/2021,DPZ,431.95,434.89,424.46,429.36,564846
20/05/2021,PBPB,6.8,6.89,6.62,6.72,63459
20/05/2021,SBUX,111.41,111.69,109.87,109.98,5345545
20/05/2021,CMG,1341.78,1353.18,1336,1338.13,366418
20/05/2021,WEN,23.83,23.94,23.61,23.71,2264944
20/05/2021,DPZ,428.94,437.62,428.345,430.3,1039053
21/05/2021,PBPB,7.29,7.35,6.78,6.84,122029
21/05/2021,SBUX,110.92,112.22,110.57,111.63,5146620
21/05/2021,CMG,1330,1355.4,1327.79,1348.31,243521
21/05/2021,WEN,23.59,23.95,23.46,23.85,5905720
21/05/2021,DPZ,427.65,432.07,425.7407,429.5,870852
24/05/2021,PBPB,7.1,7.29,7.02,7.29,66909
24/05/2021,SBUX,112.52,113.03,111.52,111.798,5436295
24/05/2021,CMG,1342.36,1358.07,1333.82,1339,244483
24/05/2021,WEN,23.25,23.72,23.23,23.68,2315104
24/05/2021,DPZ,420.9,433.14,420.69,429.19,695687
25/05/2021,PBPB,6.89,7.28,6.86,7.12,111435
25/05/2021,SBUX,112.63,113.15,112.18,112.9152,5391837
25/05/2021,CMG,1346.13,1356.42,1334.39,1351.38,233547
25/05/2021,WEN,23.17,23.395,23.04,23.36,1680043
25/05/2021,DPZ,421.04,422.325,414,416.52,702646
26/05/2021,PBPB,6.86,7.08,6.81,6.82,68823
26/05/2021,SBUX,112.85,113.866,112.63,113.295,3841607
26/05/2021,CMG,1345.81,1372.955,1342.78,1355.63,290042
26/05/2021,WEN,23.55,23.57,23.065,23.07,2123021
26/05/2021,DPZ,420.69,424.64,419.28,421.64,429301
27/05/2021,PBPB,7.02,7.1,6.85,6.97,33329
27/05/2021,SBUX,113.51,114.09,112.755,113.47,7378437
27/05/2021,CMG,1365.6,1374.28,1344.72,1353.88,307181
27/05/2021,WEN,23.02,23.62,22.93,23.59,2606658
27/05/2021,DPZ,423.97,426.14,418.785,421.94,471789
28/05/2021,PBPB,6.89,7.09,6.81,7.05,54042
28/05/2021,SBUX,113.88,114.35,113.05,114.35,4239973
28/05/2021,CMG,1371.98,1381.93,1357.33,1366,254162
28/05/2021,WEN,23.22,23.25,22.85,22.95,1686304
28/05/2021,DPZ,426.87,429.4,421.23,421.23,458350
01/06/2021,PBPB,6.74,7.09,6.66,6.99,61707
01/06/2021,SBUX,113.34,114.6237,113.1,114.558,4306926
01/06/2021,CMG,1361.13,1378.69,1342.18,1372,349864
01/06/2021,WEN,23.2,23.32,23.09,23.215,1738594
01/06/2021,DPZ,423,430.94,422.3,430.33,434796
